"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","592","STITCH","339","275.0"
"*","593","STITCH","268","277.0"
"*","594","STITCH","356","277.0"
"*","595","STITCH","285","279.0"
"*","596","STITCH","359","279.0"
"*","597","STITCH","355","281.0"
"*","598","STITCH","355","281.0"
"*","599","STITCH","286","283.0"
"*","600","STITCH","359","283.0"
"*","601","STITCH","283","285.0"
"*","602","STITCH","359","285.0"
"*","603","STITCH","282","287.0"
"*","604","STITCH","345","287.0"
"*","605","STITCH","250","289.0"
"*","606","STITCH","321","289.0"
"*","607","STITCH","249","291.0"
"*","608","STITCH","312","291.0"
"*","609","STITCH","275","293.0"
"*","610","STITCH","302","293.0"
"*","611","STITCH","285","295.0"
"*","612","STITCH","296","295.0"
"*","613","STITCH","280","297.0"
"*","614","STITCH","283","297.0"
"*","615","JUMP","283","297.0"
"*","616","STITCH","106","216.0"
"*","617","STITCH","119","216.0"
"*","618","STITCH","108","218.0"
"*","619","STITCH","116","218.0"
"*","620","STITCH","106","220.0"
"*","621","STITCH","119","220.0"
"*","622","STITCH","109","222.0"
"*","623","STITCH","118","222.0"
"*","624","JUMP","118","222.0"
"*","625","STITCH","241","181.0"
"*","626","STITCH","275","181.0"
"*","627","STITCH","230","183.0"
"*","628","STITCH","240","183.0"
"*","629","STITCH","214","185.0"
"*","630","STITCH","275","185.0"
"*","631","STITCH","194","187.0"
"*","632","STITCH","273","187.0"
"*","633","STITCH","190","189.0"
"*","634","STITCH","252","189.0"
"*","635","STITCH","178","191.0"
"*","636","STITCH","190","191.0"
"*","637","STITCH","175","193.0"
"*","638","STITCH","270","193.0"
"*","639","STITCH","243","195.0"
"*","640","STITCH","265","195.0"
"*","641","STITCH","198","197.0"
"*","642","STITCH","243","197.0"
"*","643","STITCH","175","199.0"
"*","644","STITCH","265","199.0"
"*","645","STITCH","167","201.0"
"*","646","STITCH","258","201.0"
"*","647","STITCH","179","203.0"
"*","648","STITCH","246","203.0"
"*","649","STITCH","167","205.0"
"*","650","STITCH","258","205.0"
"*","651","STITCH","246","207.0"
"*","652","STITCH","257","207.0"
"*","653","STITCH","251","209.0"
